COD_ETB;LIB_OFF_ETB;LIB_AD1_ETB;COD_POS_ADR_ETB;LIB_COM;LAT;LNG
0411021M;Cours Promotion Sociale Coiffure;5 Rue De La Picardiere;41000;Blois;47.5884358;1.2950781
0541559B;Ctr.form.prof.agricole Jeunes;3 Rue Drouas;54200;Toul;48.6725691;5.8924462
0291759E;Ctre De Formation De Brest;Porte De Carpon;29240;Brest;48.390394;-4.486076
0311230U;Ctre D'ecologie;29 Rue J Marvig;31055;Toulouse;43.5779576;1.4639799
0930604B;Ctre Etud Sup Tech Industriel;3 Rue Fernand Hainaut;93407;St Ouen;48.9192718;2.3327857
0751700R;Ctre Nat Exploitation Oceans;39 Avenue D Iena;75116;Paris 16;48.8687074;2.2955003
0312339Z;Ctre Nat Rech Scientifique;16 Avenue Edouard Belin;31054;Toulouse;43.5631811;1.480326
0631814E;Ctre Nat.rech.scientifique;34 Avenue Carnot;63000;Clermont Ferrand;45.7762666;3.0916043
0110942P;Ctre Polyvalent Formation Prof;La Rouatiere;11400;Souilhanels;43.355982;1.902977
0941958T;Deleg Regionale;27 Rue Paul Bert;94200;Ivry Sur Seine;48.8181225;2.3709464
0941957S;Deleg Regionale Cnrs;Tour Europa 126 Belle Epine;94320;Thiais;48.760344;2.387405
0672674T;Delegation Regionale Cnrs;23 Rue Du Loess;67037;Strasbourg;48.6042226;7.7115393
0542276F;Delegation Regionale Du Cnrs;39 Rue Gambetta;54000;Nancy;48.691842;6.1794993
0595987M;Delegation Regionale Du Cnrs;2 Rue Des Cannonniers;59046;Lille;50.6401336;3.0691392
0411013D;E T I C Ecole Des Tech Communication;2 Rue Jehan De Saveuse;41000;Blois;47.5882653;1.3381421
0611020C;E.s.a.t.;;61210;Giel Courteilles;48.7645229;-0.196656
0951623Y;Ec Inter Sc Trait Information;Avenue Du Parc;95011;Cergy;49.0337852;2.072182
0180910S;Ec Nat Sup Ingenieurs Bourges;10 Boulevard Lahitolle;18020;Bourges;47.0830802;2.417787
0330203S;Ec Nle Ing Des Travaux Agricol;1 Cours Du Gl De Gaulle;33175;Gradignan;44.774267;-0.618945
0641923T;Ec Sup Des Techno Indust Avanc;;64102;Bayonne;43.493181;-1.4749344
0801911T;Ec Sup Ing Electr Et Electrote;14 Quai De La Somme;80083;Amiens;49.8996519;2.2914433
0142182W;Ec Sup Ing Travaux Constr Caen;1 Rue Pierre Et Marie Curie;14610;Epron;49.2154076;-0.3662197
0590353N;Ec Sup Tech Indust Textiles;52 Allee Lakanal;59654;Villeneuve D Ascq;50.6409021;3.1377931
0332880B;Ec Tech Pr Esthetique Cosmet. Cecile Briat;21 Cours Marechal Foch;33000;Bordeaux;44.8470956;-0.575386
0060693W;Ec.secondaire Et Techn.privee Cours Cannois-guy Furet;134 Boulevard De La Republique;06400;Cannes;43.5631735;7.0210192
0782128P;Ec.secondaire Et Techn.privee Cours Du Prieure;27 Rue Diderot;78100;St Germain En Laye;48.8923567;2.0910716
0730768N;Ec.secondaire Et Techn.privee D'altitude Le Val D'arly;Le Val D'arly;73590;St Nicolas La Chapelle;45.808921;6.501631
0781947T;Ec.secondaire Et Techn.privee Foot;Domaine De Montjoye;78120;Clairefontaine En Yvelines;48.61237;1.908489
0920925F;Ec.secondaire Et Techn.privee Marymount School;72 Boulevard De La Saussaye;92200;Neuilly Sur Seine;48.8928396;2.2700496
0941954N;Ec.sup.ing.trav.const.;28 Ave Du President Wilson;94234;Cachan;48.7934331;2.3305073
0332911K;Ec.tech.pr.coiffure Ec.tech.pr.a.berge;8 Place Tartas;33000;Bordeaux;44.8408689;-0.590832
0952044F;Ecole 2d Degre General Privée;9 Bis Rue Saint Flaive;95120;Ermont;48.9881778;2.2598042
0061991G;Ecole 2d Degre General Privée Alliance/apeda;22 Rue Michelet;06100;Nice;43.714606;7.2590664
0752180M;Ecole 2d Degre General Privée Beausejour;23 Boulevard Beausejour;75016;Paris 16;48.8574466;2.2702555
0952134D;Ecole 2d Degre General Privée Beith Yaacov;14 Avenue Charles Peguy;95200;Sarcelles;48.9811624;2.3754349
0694066V;Ecole 2d Degre General Privée Beth Hanna;293 Rue Francis De Pressense;69100;Villeurbanne;45.7681543;4.8969586
0952126V;Ecole 2d Degre General Privée Beth Israel;9 Ruelle Des Jardins;95360;Montmagny;48.9769243;2.3448886
0132965C;Ecole 2d Degre General Privée Beth-myriam;60 Che Vallon De Toulouse;13010;Marseille 10;43.2664233;5.4263163
0881749Y;Ecole 2d Degre General Privée Bienheureux Frassati;50 Rue Monseigneur Rodhain;88800;Mandres Sur Vair;48.2234792;5.891083
0754083F;Ecole 2d Degre General Privée Carnot;98 Rue Pierre Demours;75017;Paris 17;48.8835651;2.2995698
9720871P;Ecole 2d Degre General Privée Centre Saint Raphael;Quartier Bel Air;97233;Schoelcher;0.0;0.0
0753829E;Ecole 2d Degre General Privée Claude Bernard;34 Rue De La Clef;75005;Paris 05;48.8416993;2.3526449
0754672W;Ecole 2d Degre General Privée Colbert;5 Rue De La Sante;75013;Paris 13;48.8378098;2.342051
0940872M;Ecole 2d Degre General Privée Cours Henri Iv;6 Avenue Du Reservoir;94100;St Maur Des Fosses;48.8081416;2.4967768
0391047B;Ecole 2d Degre General Privée Cours N.d. De L'annonciation;Chateau;39270;Cressia;46.5223129;5.483452
0690557F;Ecole 2d Degre General Privée Cours Pascal;21 Rue Longue;69001;Lyon 01;45.7654048;4.8337143
0754971W;Ecole 2d Degre General Privée Cours Privé Progress;41 Rue De Turenne;75003;Paris 03;48.8571717;2.364311
0342019K;Ecole 2d Degre General Privée Ec Pr Bilingue Internationale;Le Chateau Domaine De Massane;34670;Baillargues;43.650414;4.003782
0753857K;Ecole 2d Degre General Privée Ecole Du Champ De Mars;87 Avenue De La Bourdonnais;75007;Paris 07;48.8559885;2.3026302
0133785U;Ecole 2d Degre General Privée Fides;6 Cours Sexctius;13100;Aix En Provence;43.5275763;5.4433404
0753859M;Ecole 2d Degre General Privée Fides;10 Avenue De La Bourdonnais;75007;Paris 07;48.8600406;2.2962319
0492344G;Ecole 2d Degre General Privée Foyer Saint Thomas;Couvent Haye Aux Bonshommes;49240;Avrille;47.505335;-0.590629
0651036Y;Ecole 2d Degre General Privée Gambetta;2 Rue De L'harmonie;65000;Tarbes;43.232008;0.0723895
0755193M;Ecole 2d Degre General Privée Gaston Tenoudji;2 Rue Emile Borel;75017;Paris 17;48.8988905;2.3223466
0752456M;Ecole 2d Degre General Privée Geoffroy Saint-hilaire;24 Rue Charcot;75013;Paris 13;48.8308116;2.3712295
0753870Z;Ecole 2d Degre General Privée Hattemer;52 Rue De Londres;75008;Paris 08;48.8784036;2.3254588
0430967T;Ecole 2d Degre General Privée Institut Alcuin;;43270;Ceaux D Allegre;45.181719;3.746936
0611249B;Ecole 2d Degre General Privée Institut Croix Des Vents;55 Rue D Argentre;61500;Sees;48.6058338;0.1799387
0940873N;Ecole 2d Degre General Privée Institut Francais De Grignon;19 Rue Jean-francois Marmontel;94320;Thiais;48.7530756;2.3962989
0490950S;Ecole 2d Degre General Privée Institution Bois Robert;;49370;Becon Les Granits;47.503413;-0.80139
0752803P;Ecole 2d Degre General Privée International School Of Paris;6 Rue Beethoven;75016;Paris 16;48.8584557;2.2873279
0062013F;Ecole 2d Degre General Privée International School Of Sophia;60 Rue Du Vallon;06560;Valbonne;43.6263899;7.0532296
0753377N;Ecole 2d Degre General Privée Ipecom Prepa Sciences;8 Rue Benjamin Godard;75016;Paris 16;48.8664881;2.275755
0755278E;Ecole 2d Degre General Privée Jcours Cours Privés;6 Rue Mayran;75009;Paris 09;48.8772948;2.3454524
0312170R;Ecole 2d Degre General Privée Jean-jacques Rousseau;22 Rue Ingres;31000;Toulouse;43.614223;1.4426803
0940890G;Ecole 2d Degre General Privée Jeanne D'albret;3 Place Moreau David;94120;Fontenay Sous Bois;48.8431774;2.4652823
0312527D;Ecole 2d Degre General Privée La Clairiere;8 Impasse Marestan;31100;Toulouse;43.5649875;1.4068322
0320682T;Ecole 2d Degre General Privée Le Carouet;;32230;Monlezun;43.500014;0.213362
0753911U;Ecole 2d Degre General Privée L'ecole;24 R Ingenieur Robert Keller;75015;Paris 15;48.8472783;2.2838185
0750026W;Ecole 2d Degre General Privée L'enseign Par Petits Groupes;17 Avenue Felix Faure;75015;Paris 15;48.8421981;2.2908869
0672863Y;Ecole 2d Degre General Privée Michael;2c Rue Du Schnokeloch;67200;Strasbourg;48.5784653;7.7138219
0753895B;Ecole 2d Degre General Privée Moliere;2 Boulevard Soult;75012;Paris 12;48.8360654;2.4076243
0753845X;Ecole 2d Degre General Privée Montaigne;1 Rue Dupin;75006;Paris 06;48.8502773;2.324821
0693316E;Ecole 2d Degre General Privée Multilingue Ombrosa;95 Quai Clemenceau;69300;Caluire Et Cuire;45.807247;4.8438576
0753060U;Ecole 2d Degre General Privée Ohr Joseph;29 Rue De Thionville;75019;Paris 19;48.8904226;2.3857306
0753146M;Ecole 2d Degre General Privée Prepasup;38 Rue Des Blancs Manteaux;75004;Paris 04;48.8597021;2.3551971
0753818T;Ecole 2d Degre General Privée Rene Reaumur;81 Rue Reaumur;75002;Paris 02;48.866918;2.3486024
0030906U;Ecole 2d Degre General Privée Rudolf Steiner;Chateau De La Mhotte;03210;St Menoux;46.572769;3.115683
0595489W;Ecole 2d Degre General Privée Saint Benoit;116 Boulevard D'armentieres;59100;Roubaix;50.7010617;3.1628397
0142219L;Ecole 2d Degre General Privée Sainte Catherine De Sienne;;14740;St Manvieu Norrey;49.180678;-0.501961
0753109X;Ecole 2d Degre General Privée Saint-john Perse;14 Rue Cavallotti;75018;Paris 18;48.8866068;2.327952
0753376M;Ecole 2d Degre General Privée Saint-john Perse;3 Rue De L'eure;75014;Paris 14;48.8324435;2.3221673
0942025R;Ecole 2d Degre General Privée Sophia;5 Rue Colonel P.brossolette;94480;Ablon Sur Seine;48.7249353;2.4195636
0753894A;Ecole 2d Degre General Privée Spinoza;22 Rue Du Sergent Bauchat;75012;Paris 12;48.845549;2.3930299
0861216E;Ecole 2d Degre General Privée St Thomas D Aquin;Le Parc;86700;Romagne;46.290382;0.3073
0441850X;Ecole 2d Degre General Privée Ste Catherine De Sienne;32 Rue De La Bastille;44000;Nantes;47.2185622;-1.5664552
0753878H;Ecole 2d Degre General Privée Verlaine;37 Rue Des Martyrs;75009;Paris 09;48.879285;2.3398549
0754676A;Ecole 2d Degre General Privée Yechiva Chaare Thora;3 5 Rue Henri Turot;75019;Paris 19;48.876668;2.3725952
0851557F;Ecole 2d Degre International Chavagnes;96 Rue Du Calvaire;85250;Chavagnes En Paillers;46.8935629;-1.2523775
0261430N;Ecole 2d Degre Polyval Privée Formacom;3 Place Marx Dormoy;26200;Montelimar;44.5549839;4.7495125
0450771U;Ecole 2d Degre Polyval Privée Formation Entreprise - Cecam;28 Rue Du Fbg De Bourgogne;45000;Orleans;47.9011332;1.9212467
0731504N;Ecole 2d Degre Polyval Privée Univeria;725 Faubourg Montmelian;73000;Chambery;45.5665104;5.9347242
0312579K;Ecole 2d Degre Prof Privée Dynameca;75 Avenue De Grande Bretagne;31300;Toulouse;43.5999437;1.4151779
0171382K;Ecole 2d Degre Prof Privée Esthetique Coiffure De Sainton;4 Rue De La Comedie;17100;Saintes;45.7454397;-0.6320982
0171434S;Ecole 2d Degre Prof Privée Inst Reg Techn Image Et Son;25 Avenue Dassault;17304;Rochefort;45.945147;-0.9578502
0171416X;Ecole 2d Degre Prof Privée J. Eudes;8 Boul. Du Commandant Charcot;17443;Aytre;46.1351019;-1.1261536
0861245L;Ecole 2d Degre Prof Privée Skhole D'art;2 Et 4 Place Jean De Berry;86000;Poitiers;46.5903977;0.3396993
0141992P;Ecole 2d Degre Prof. Privée Arcade Caen;9 Rue Du Colonel Remy;14000;Caen;49.202484;-0.3878073
0593022P;Ecole 2d Degre Prof. Privée Coupe Couture;38 Rue De Roubaix;59800;Lille;50.6388879;3.0697772
0251070C;Ecole 2d Degre Prof. Privée Cours Hotelier De Besancon;98 Grande Rue;25000;Besancon;47.2357282;6.0272858
0593076Y;Ecole 2d Degre Prof. Privée Cte Formation Perfectionnement;Rue Des Cligneux;59330;Hautmont;50.24159;3.895865
0251674J;Ecole 2d Degre Prof. Privée Ecole De Coiffure Cordier;11 Bis Rue Nicolas Bruand;25000;Besancon;47.2493423;6.0227103
0900039D;Ecole 2d Degre Prof. Privée Ecole De Commerce Kisel;7 Faubourg De Lyon;90000;Belfort;47.6343043;6.850814
0251523V;Ecole 2d Degre Prof. Privée Ecole Du Fc Sochaux;20 Rue De La Cote;25230;Seloncourt;47.4588815;6.8458273
0900035Z;Ecole 2d Degre Prof. Privée Ecole Ema / Imt;11-13 Rue Aristide Briand;90000;Belfort;47.6327477;6.8553195
0622169W;Ecole 2d Degre Prof. Privée Ecole Europeenne D'esthetique;114 Rue Saint Aubert;62000;Arras;50.2924651;2.7692463
0596339V;Ecole 2d Degre Prof. Privée Ecole Privée De Coiffure;74 Boulevard De La Liberte;59800;Lille;50.633826;3.0576975
0596351H;Ecole 2d Degre Prof. Privée Efficom-nord;144/146 Rue Nationale;59000;Lille;50.6335348;3.0541112
0595721Y;Ecole 2d Degre Prof. Privée Lp Privé Cours Auber-icam;6 Rue Auber;59046;Lille;50.6302567;3.0417529
0595828P;Ecole 2d Degre Prof. Privée Pigier I.t.m.-i.c.a.;14 Rue Des Fusiliers Marins;59140;Dunkerque;51.0329454;2.3721355
0593019L;Ecole 2d Degre Prof. Privée Schanfelaer-normand;20 Avenue Charles Saint Venant;59800;Lille;50.634035;3.0703394
0594621C;Ecole 2d Degre Prof. Privée Soins Esthetiques;9-11 Rue Leon Trulin;59800;Lille;50.6384147;3.0663107
0593098X;Ecole 2d Degre Prof. Privée Sueur Delabre Ctr Format Privé;Parks Service Unite1;59406;Cambrai;50.173538;3.236633
0251908N;Ecole 2d Degre Prof.priv. Afco Ass. Franc-comt. Form.coiffur;16 Rue De Belfort;25000;Besancon;47.2469149;6.026832
0360846Z;Ecole 2d Degre Prof.privee;8-10 Rue Guimon Latouche;36000;Chateauroux;46.8126291;1.6942297
0580977X;Ecole 2d Degre Prof.privee;5 Avenue Claude Delisse;58360;St Honore Les Bains;46.8962966;3.8561571
0711892W;Ecole 2d Degre Prof.privee;Charly;71250;Mazille;46.396423;4.610709
0610799M;Ecole 2d Degre Prof.privee A.d.f.i.;40 Rue Du Puit Au Verrier;61001;Alencon;48.4363865;0.0876791
0142359N;Ecole 2d Degre Prof.privee Acad Coif Esthet Morriss Partn;177 Rue D Auge;14000;Caen;49.1747803;-0.3407445
0596780Z;Ecole 2d Degre Prof.privee Academie Privée Michel Dervyn;344 Avenue De La Marne;59700;Marcq En Baroeul;50.6798793;3.1150119
0672904T;Ecole 2d Degre Prof.privee Academy Serge Comtesse;11 Rue Boston;67000;Strasbourg;48.5766769;7.7707505
0333122P;Ecole 2d Degre Prof.privee Alienor D Esthetique;55 57 Rue Jules Ferry;33200;Bordeaux;44.842255;-0.6034116
0851559H;Ecole 2d Degre Prof.privee Animation Et Petite Enfance;Zi Montifaut;85700;Pouzauges;46.782648;-0.837243
0440432F;Ecole 2d Degre Prof.privee Anjorrant;80 Rue Du General Buat;44009;Nantes;47.2305106;-1.5393662
0422052C;Ecole 2d Degre Prof.privee Ass Forezienne Ec Production;10 Rue Scheurer Kestner;42000;St Etienne;45.453516;4.3906874
0721300X;Ecole 2d Degre Prof.privee Assoc Formation Personnel;47 Avenue Olivier Messiaen;72018;Le Mans;48.0146373;0.1594294
0383299E;Ecole 2d Degre Prof.privee A-tel Communication;21 Avenue De La Plaine Fleurie;38240;Meylan;45.20604;5.7576666
0693134G;Ecole 2d Degre Prof.privee Atelier Apprent Gorge De Loup;105 Avenue Sidoine Apollinaire;69009;Lyon 09;45.7672746;4.7977054
0691474C;Ecole 2d Degre Prof.privee Ateliers D'apprentissage;La Giraudiere;69690;Brussieu;45.752063;4.547178
0133909D;Ecole 2d Degre Prof.privee Ateliers De L'image Et Du Son;40 Rue Borde;13008;Marseille 08;43.2788168;5.3910828
0693444U;Ecole 2d Degre Prof.privee Athena;22 Rue Pizay;69202;Lyon 01;45.7671314;4.836327
0422109P;Ecole 2d Degre Prof.privee Avenir Formation;10 Rue Emile Noirot;42302;Roanne;46.0386546;4.0683222
0611282M;Ecole 2d Degre Prof.privee Beaute Coiffure Et Formation;93 Avenue Rhin Et Danube;61000;Alencon;48.4183713;0.0973169
0492317C;Ecole 2d Degre Prof.privee Beaute Coiffure Formation;51 Place Allain Targe;49400;Saumur;47.2570769;-0.0691588
0171586G;Ecole 2d Degre Prof.privee Campus Des Metiers;Rue Du Chateau Site Du Prieure;17000;La Rochelle;48.7991114;-1.3941003
0761772N;Ecole 2d Degre Prof.privee Catherine Lorene;52 Rue Jean Lecanuet;76000;Rouen;49.4454094;1.0882638
0754129F;Ecole 2d Degre Prof.privee Ccip Ecoles Gregoire-ferrandi;28 Rue De L'abbe Gregoire;75006;Paris 06;48.8474723;2.3254989
0660876U;Ecole 2d Degre Prof.privee Centre Enseignement Formation;Route De Thuir;66011;Perpignan;42.6820032;2.8646257
0755207C;Ecole 2d Degre Prof.privee Chapellerie Modiste;8 Passage Abel Leblanc;75012;Paris 12;48.8459871;2.3814297
0501212W;Ecole 2d Degre Prof.privee Coiff'ecole;26 Rue De La Paix;50100;Cherbourg Octeville;49.643053;-1.6270152
0195038Y;Ecole 2d Degre Prof.privee Coiffure;4 Place Saint Pierre;19100;Brive La Gaillarde;45.1594566;1.5344809
0721515F;Ecole 2d Degre Prof.privee Coiffure Esthet Espace Bel Air;200 Avenue Georges Durand;72100;Le Mans;47.9754992;0.2147089
0442345K;Ecole 2d Degre Prof.privee Coiffure Et Esthetique;44 Quai Malakoff;44000;Nantes;47.2147689;-1.5414584
0011255J;Ecole 2d Degre Prof.privee Coiffure Europeenne De L'ain;30 Avenue Alphonse Baudin;01000;Bourg En Bresse;46.200325;5.216353
0111011P;Ecole 2d Degre Prof.privee Coiffure K L;3 Square Gambetta;11000;Carcassonne;43.2116828;2.357763
0133683H;Ecole 2d Degre Prof.privee Coiffure Leader;441 Avenue Du Prado;13008;Marseille 08;43.266863;5.3830066
0851437A;Ecole 2d Degre Prof.privee Coiffure Morriss;12 Rue Jean Jaures;85000;La Roche Sur Yon;46.6696044;-1.4289695
0421913B;Ecole 2d Degre Prof.privee Createc;12 Rue Michel Rondet;42000;St Etienne;45.4380867;4.3854206
0754168Y;Ecole 2d Degre Prof.privee Ctre Marcel Lamy Coiffure-esth;15-17 Rue Des Fillettes;75018;Paris 18;48.8946669;2.3633961
0754338H;Ecole 2d Degre Prof.privee Ctre Pri Ens Soins Esthetiques;9 Rue Volney;75002;Paris 02;48.8696803;2.3301585
0311202N;Ecole 2d Degre Prof.privee D'esthetique Cosmetique;23 Rue Gabriel Peri;31000;Toulouse;43.6060897;1.4534456
0752123A;Ecole 2d Degre Prof.privee Ec Francaise D'ens Technique;110 Rue De Picpus;75012;Paris 12;48.8385284;2.4013752
0754872N;Ecole 2d Degre Prof.privee Ec Internat Esthetiq Francaise;5 Avenue Bertie Albrecht;75008;Paris 08;48.8756935;2.3011723
0754108H;Ecole 2d Degre Prof.privee Ec Internationale De Coiffure;76 Rue Reaumur;75002;Paris 02;48.8664449;2.3517469
0342216Z;Ecole 2d Degre Prof.privee Ec Pr Esthetique Millenaire;1350 Av Albert Einstein;34000;Montpellier;43.6101676;3.9133879
0341752V;Ecole 2d Degre Prof.privee Ec Sup Metiers Aern Esma;Aerp Montpellier Mediterranee;34137;Mauguio;43.5788389;3.959328
0922623B;Ecole 2d Degre Prof.privee Ecofac;72 Avenue De La Republique;92320;Chatillon;48.8019714;2.2959133
0754169Z;Ecole 2d Degre Prof.privee Ecole Active De Coiffure;203 205 Rue Lafayette;75010;Paris 10;48.8810547;2.3636236
0754112M;Ecole 2d Degre Prof.privee Ecole De Bijouterie-joaillerie;58 Rue Du Louvre;75002;Paris 02;48.8658847;2.3434157
0750115T;Ecole 2d Degre Prof.privee Ecole De Coiffure;60 Rue Saint Lazare;75009;Paris 09;48.8768576;2.3333014
0754114P;Ecole 2d Degre Prof.privee Ecole Dentaire Francaise;3 Rue De L'est;75020;Paris 20;48.8708623;2.3944941
0180939Y;Ecole 2d Degre Prof.privee Ecole Des Metiers;145-151 Rue De Turly;18000;Bourges;47.1015295;2.4242279
0681962N;Ecole 2d Degre Prof.privee Ecole Des Metiers Artistiques;2 Rue Sainte-catherine;68100;Mulhouse;47.7426617;7.3390234
0251890U;Ecole 2d Degre Prof.privee Ecole Ema 25 Besancon;13 Rue Du Balcon;25000;Besancon;47.2476688;6.0251837
0624303R;Ecole 2d Degre Prof.privee Ecole Europeenne Esthetique Ii;112 Rue Saint Aubert;62000;Arras;50.2924167;2.7693128
0442412H;Ecole 2d Degre Prof.privee Ecole Nantaise De Coiffure;6 Place Montaigne;44000;Nantes;47.2201576;-1.5615212
0011294B;Ecole 2d Degre Prof.privee Ecole Technique Du Bois;560 B Rue Du Marais;01110;Cormaranche En Bugey;45.957123;5.602139
0212188P;Ecole 2d Degre Prof.privee Eisec;35 Rue Charles Dumont;21000;Dijon;47.3123064;5.0399242
0624372R;Ecole 2d Degre Prof.privee Elit Academy;50 60 Rue De Folkestone;62200;Boulogne Sur Mer;50.7279326;1.5994104
0062052Y;Ecole 2d Degre Prof.privee Elysees Cannes;22 Bd De La Republique;06400;Cannes;43.5545307;7.0250715
0672997U;Ecole 2d Degre Prof.privee Elysees Marbeuf;26 Rue Des Magasins;67000;Strasbourg;48.591175;7.7408775
0212187N;Ecole 2d Degre Prof.privee Ema;15 Rue De L'arquebuse;21000;Dijon;47.3190199;5.031125
0831653W;Ecole 2d Degre Prof.privee Ema;1349 Boulevard Jean Moulin;83700;St Raphael;43.4279147;6.7900075
0292256V;Ecole 2d Degre Prof.privee Emb Pigier;31 Rue De Douarnenez;29000;Quimper;47.9980478;-4.1098548
